haloID,subHaloID,lastProgenitorId,treeId,snapNum,redshift,firstProgenitorId,nextProgenitorId,descendantId,firstHaloInFOFgroupId,nextHaloInFOFgroupId,np,m_Mean200,m_Crit200,m_TopHat,phKey,x,y,z,zIndex,ix,iy,iz,velX,velY,velZ,velDisp,vMax,spinX,spinY,spinZ,mostBoundID,fileNr,subhaloIndex,halfmassRadius,random
7000074000000,63000700000216,7000074000289,7000074000000,63,0.0,7000074000001,-1,-1,7000074000000,7000074000369,4602,492.55383,371.45944,427.40213,31219,28.447828,3.9368572,48.951294,152289,3,0,5,10.696092,-63.76165,-42.33564,160.94171,261.86707,-1.1528618,-2.1968207,2.090136,18751330,7,216,0.125058,7
7000074000001,62000700000218,7000074000289,7000074000000,62,0.019932542,7000074000002,-1,7000074000000,7000074000001,7000074000370,4546,485.58252,363.19714,424.4759,31219,28.444448,3.9474106,48.962185,152289,3,0,5,11.128226,-62.93288,-40.398586,169.03142,269.17755,-1.100636,-2.2199943,2.1858895,18751330,7,218,0.11706651,385
7000074000002,61000700000217,7000074000289,7000074000000,61,0.041403063,7000074000003,-1,7000074000001,7000074000002,7000074000371,4456,477.14807,356.57007,424.82016,31219,28.447731,3.959069,48.973045,152289,3,0,5,3.722798,-63.3051,-36.00768,169.21281,273.25116,-0.827762,-2.026932,2.1207614,18751330,7,217,0.111534804,190
7000074000003,60000700000269,7000074000289,7000074000000,60,0.064493395,7000074000004,-1,7000074000002,7000074000003,7000074000372,4483,469.91858,349.94302,420.51688,31219,28.464832,3.9671977,48.982563,152289,3,0,5,5.2970386,-68.97486,-32.69513,170.85898,285.39426,-0.83984244,-1.7665309,2.5128622,18753674,7,269,0.106295034,515
7000074000004,59000700000206,7000074000289,7000074000000,59,0.08928783,7000074000005,-1,7000074000003,7000074000004,7000074000373,4280,457.43906,321.79953,409.58652,31219,28.477026,3.9565504,48.9834,152289,3,0,5,4.6991405,-59.056396,-29.902922,155.36472,256.08368,-0.7542337,-1.8828127,2.3753629,18751954,7,206,0.12198039,514
7000074000005,58000700000213,7000074000289,7000074000000,58,0.11588337,7000074000006,-1,7000074000004,7000074000005,7000074000294,3922,446.07837,305.79132,389.96356,31219,28.481747,3.968181,48.99062,152289,3,0,5,7.3648562,-52.77203,-19.472147,144.4706,244.96956,-0.8806434,-1.648618,1.3934348,18753520,7,213,0.12628996,491
7000074000006,57000700000207,7000074000262,7000074000000,57,0.14438343,7000074000007,7000074000263,7000074000005,7000074000006,7000074000295,3748,423.09885,268.35275,352.0086,31219,28.481514,3.9788632,49.002197,152289,3,0,5,11.8775,-53.75762,-14.363534,138.68619,243.11409,-0.62263227,-1.5931926,0.9238543,18750708,7,207,0.12510939,687
7000074000007,56000700000223,7000074000262,7000074000000,56,0.17489761,7000074000008,-1,7000074000006,7000074000007,7000074000296,3693,392.6316,238.57404,315.4307,31219,28.473763,3.9848602,49.001915,152289,3,0,5,15.704929,-58.255993,-12.536023,136.96777,241.83403,-0.50413024,-1.5479549,1.235681,18751268,7,223,0.12497766,540
7000074000008,55000700000279,7000074000262,7000074000000,55,0.20754863,7000074000009,-1,7000074000007,7000074000008,7000074000297,3531,353.81598,230.56993,276.87326,31219,28.470926,3.9972708,49.005844,152289,3,0,5,23.575405,-60.808468,-8.727419,135.31966,242.24028,-0.5973726,-1.358398,0.5816044,18751268,7,279,0.1190499,276
7000074000009,54000700000218,7000074000262,7000074000000,54,0.24246909,7000074000010,-1,7000074000008,7000074000009,7000074000298,3203,296.4102,223.59862,266.9757,31219,28.459698,4.0079837,49.000885,152289,3,0,5,31.085411,-58.06637,-0.74726295,135.49777,242.1085,-0.3740203,-1.1680171,-1.0020028,18751307,7,218,0.10617803,891
