galaxyID,lastProgenitorId,descendantId,haloID,subHaloID,fofID,treeId,firstProgenitorId,nextProgenitorId,type,snapnum,redshift,centralMvir,phkey,x,y,z,zIndex,ix,iy,iz,velX,velY,velZ,np,mvir,rvir,vvir,vmax,coldGas,stellarMass,bulgeMass,hotGas,ejectedMass,blackHoleMass,metalsColdGas,metalsStellarMass,metalsBulgeMass,metalsHotGas,metalsEjectedMass,sfr,sfrBulge,xrayLum,diskRadius,coolingRadius,mag_b,mag_v,mag_r,mag_i,mag_k,mag_bBulge,mag_vBulge,mag_rBulge,mag_iBulge,mag_kBulge,mag_bDust,mag_vDust,mag_rDust,mag_iDust,mag_kDust,massWeightedAge,random
2000021000000,2000021000847,-1,2000021000000,63000200000110,63000200000110,2000021000000,2000021000001,-1,0,63,0.0,4624.3086,10585,55.274693,38.280144,16.505081,119442,6,4,1,19.177523,-21.921288,53.264458,66527,4624.3086,0.58370763,583.70807,588.64233,0.2499357,15.396107,15.381573,693.7188,0.0,0.035454866,0.00344161,0.30297646,0.3028184,2.7046535,0.0,0.27897948,2.638845E-7,0.0,0.04429727,0.049654998,-21.107338,-22.005192,-22.751425,-23.398169,-25.002443,-21.071243,-21.985565,-22.73787,-23.387985,-24.9957,-21.107248,-22.005152,-22.751404,-23.398155,-25.002441,12.011466,451
2000021000001,2000021000803,2000021000000,2000021000001,62000200000110,62000200000110,2000021000000,2000021000002,2000021000804,0,62,0.019932542,4690.8374,10585,55.272564,38.297573,16.479916,119442,6,4,1,24.207457,-19.496613,54.456333,65397,4690.8374,0.5835423,587.97516,590.1216,0.2240301,15.310281,15.298805,707.6459,0.0,0.035175025,0.002768915,0.3023181,0.3022003,2.63832,0.0,0.08519722,5.470402E-8,0.0,0.04254371,0.049221523,-21.113111,-22.017174,-22.76464,-23.411531,-25.017199,-21.093685,-22.005554,-22.756304,-23.40515,-25.012863,-21.113071,-22.017155,-22.76463,-23.411524,-25.017199,11.752327,739
2000021000002,2000021000765,2000021000001,2000021000002,61000200000100,61000200000100,2000021000000,2000021000003,2000021000766,0,61,0.041403063,4709.083,10585,55.25411,38.2621,16.473684,119442,6,4,1,22.89198,-14.988796,51.6397,64692,4709.083,0.5810526,590.37836,595.08453,0.21861246,15.289463,15.278965,714.69995,0.0,0.03492133,0.0025767058,0.30219796,0.30209202,2.4979312,0.0,0.0,0.0,0.0,0.04023367,0.048735857,-21.143066,-22.042013,-22.786448,-23.431105,-25.034187,-21.124327,-22.03087,-22.778618,-23.425165,-25.03012,-21.143024,-22.041992,-22.786436,-23.431097,-25.034187,11.47741,456
2000021000003,2000021000765,2000021000002,2000021000003,60000200000108,60000200000108,2000021000000,2000021000004,-1,0,60,0.064493395,4727.157,10585,55.227985,38.197784,16.480434,119442,6,4,1,22.144636,-12.730175,48.84342,63163,4727.157,0.57823217,592.9511,587.7066,0.21861246,15.289463,15.278965,724.0941,0.0,0.034658726,0.0025767058,0.30219796,0.30209202,2.4657888,0.0,0.42544258,7.23616E-8,0.0,0.036679953,0.04846934,-21.208931,-22.085312,-22.82103,-23.460794,-25.058695,-21.166994,-22.063936,-22.807178,-23.450798,-25.0526,-21.208818,-22.085264,-22.821005,-23.460781,-25.058693,11.189556,845
2000021000004,2000021000680,2000021000003,2000021000004,59000200000095,59000200000095,2000021000000,2000021000005,2000021000681,0,59,0.08928783,4610.3657,10585,55.219826,38.196766,16.478907,119442,6,4,1,19.391754,-15.085064,44.744938,62516,4610.3657,0.569563,590.0201,596.3761,0.21261683,15.061455,15.056255,704.01636,0.0,0.03400712,0.002106968,0.30048683,0.30044112,2.459585,0.0,0.4027817,9.61401E-6,0.0,0.035126366,0.04838393,-21.232756,-22.099146,-22.830685,-23.468393,-25.064955,-21.214096,-22.089207,-22.824163,-23.463636,-25.06205,-21.232716,-22.099129,-22.830675,-23.46839,-25.064953,10.896298,101
2000021000005,2000021000641,2000021000004,2000021000005,58000200000093,58000200000093,2000021000000,2000021000006,2000021000642,0,58,0.11588337,4642.985,10585,55.23808,38.299732,16.447906,119442,6,4,1,16.08117,-13.169489,38.334072,61724,4642.985,0.56666636,593.61505,592.505,0.013368243,14.9890375,14.9890375,709.89575,0.0,0.03360313,3.7082713E-4,0.30014542,0.30014542,2.4379644,0.0,2.3853366,2.3853366,0.0,0.03072808,0.047948174,-21.867985,-22.435345,-23.09032,-23.711744,-25.28946,-21.867985,-22.435345,-23.09032,-23.711744,-25.28946,-21.638966,-22.306429,-22.990814,-23.618269,-25.203371,10.592504,841
2000021000006,2000021000516,2000021000005,2000021000006,57000200000080,57000200000080,2000021000000,2000021000007,2000021000517,0,57,0.14438343,4528.2593,10585,55.215443,38.168068,16.521986,119442,6,4,1,15.068446,-2.8501358,30.195763,58896,4528.2593,0.5573755,591.10095,578.0355,0.21151853,8.867472,4.9489784,691.4986,0.0,0.030195314,0.004017152,0.09755093,0.05182882,2.418479,0.0,0.19317785,2.1212412E-7,0.0,0.02918476,0.04778467,-20.776495,-21.646889,-22.367111,-22.98253,-24.508068,-20.11928,-20.991253,-21.711864,-22.323076,-23.831253,-20.772142,-21.643305,-22.364212,-22.980412,-24.507435,10.2266865,911
2000021000007,2000021000476,2000021000006,2000021000007,56000200000095,56000200000095,2000021000000,2000021000008,2000021000477,0,56,0.17489761,4422.6567,10585,55.22672,38.162743,16.5567,119442,6,4,1,16.720196,-10.835976,32.726856,55143,4422.6567,0.54805416,589.1147,571.06323,0.18475261,8.832235,4.9163957,673.9605,0.0,0.02984864,0.0036760564,0.097319715,0.051646397,2.368666,0.0,0.0,0.0,0.0,0.030704506,0.04752364,-20.795698,-21.670305,-22.390646,-23.004787,-24.529457,-20.143536,-21.013138,-21.731936,-22.341246,-23.846952,-20.79228,-21.66747,-22.388348,-23.003107,-24.528955,9.898127,667
2000021000008,2000021000476,2000021000007,2000021000008,55000200000092,55000200000092,2000021000000,2000021000009,-1,0,55,0.20754863,4481.0093,10585,55.246315,38.204758,16.545647,119442,6,4,1,17.562862,-14.093797,32.96829,52689,4481.0093,0.54504365,594.6238,590.15625,0.18475261,8.832235,4.9163957,688.97015,0.0,0.029533276,0.0036760564,0.097319715,0.051646397,2.3604674,0.0,0.0,0.0,0.0,0.032517202,0.047088575,-20.841463,-21.707075,-22.422434,-23.032635,-24.552145,-20.178305,-21.044676,-21.761148,-22.36806,-23.870531,-20.838379,-21.704533,-22.42038,-23.031134,-24.551699,9.558971,822
2000021000009,2000021000476,2000021000008,2000021000009,54000200000098,54000200000098,2000021000000,2000021000010,-1,0,54,0.24246909,4299.1523,10585,55.262478,38.280243,16.496052,119442,6,4,1,16.320423,-14.649175,38.277916,52274,4299.1523,0.53177774,589.6527,645.88727,0.18475261,8.832235,4.9163957,655.02716,0.0,0.028917061,0.0036760564,0.097319715,0.051646397,2.3260756,0.0,0.0,0.0,0.0,0.0286753,0.046748687,-20.90634,-21.754417,-22.461678,-23.066948,-24.581093,-20.215054,-21.077822,-21.791777,-22.396269,-23.89596,-20.902254,-21.7511,-22.459013,-23.065006,-24.580517,9.211681,292
2000021000010,2000021000476,2000021000009,2000021000010,53000200000096,53000200000096,2000021000000,2000021000011,-1,0,53,0.2798018,4023.312,10585,55.261387,38.453575,16.374474,119442,6,4,1,5.488135,-34.394512,40.534924,49811,4023.312,0.51401937,580.19244,585.4188,0.18475261,8.832235,4.9163957,607.741,0.0,0.028606273,0.0036760564,0.097319715,0.051646397,2.3183491,0.0,1.7249815,3.317633E-4,0.0,0.030821031,0.046633344,-21.064312,-21.845434,-22.53042,-23.124832,-24.628609,-20.25381,-21.112625,-21.823864,-22.425873,-23.92278,-21.06036,-21.842394,-22.52802,-23.1231,-24.6281,8.85711,375
2000021000011,2000021000381,2000021000010,2000021000011,52000200000089,52000200000089,2000021000000,2000021000012,2000021000382,0,52,0.31970343,3311.2905,10585,55.177578,38.09568,16.522635,119442,6,4,1,30.01248,85.01389,-1.5149174,42103,3311.2905,0.47549957,547.25977,504.02454,0.23716338,7.807632,3.9176931,486.49973,0.0,0.027460603,0.0040695528,0.08596189,0.040831044,2.3092,0.0,0.0,0.0,0.0,0.039416,0.04724257,-20.8049,-21.664873,-22.37503,-22.979256,-24.490309,-20.04929,-20.901756,-21.60908,-22.206806,-23.6958,-20.80235,-21.662756,-22.373314,-22.977999,-24.489933,8.516303,706
2000021000012,2000021000381,2000021000011,2000021000012,51000200000088,51000200000088,2000021000000,2000021000013,-1,0,51,0.36234027,2148.8877,10585,55.097412,37.95138,16.545288,119440,6,4,1,33.13531,81.85817,11.254183,39467,2148.8877,0.40588486,477.1725,482.2952,0.23716338,7.807632,3.9176931,288.3823,0.0,0.027274022,0.0040695528,0.08596189,0.040831044,2.3023396,0.0,0.0,0.0,0.0,0.04151698,0.049207725,-20.856548,-21.708668,-22.414074,-23.014408,-24.520605,-20.09118,-20.93916,-21.64338,-22.238317,-23.723848,-20.854229,-21.706747,-22.41252,-23.013271,-24.520266,8.150028,602
2000021000013,2000021000381,2000021000012,2000021000013,50000200000077,50000200000077,2000021000000,2000021000014,-1,0,50,0.40789944,1792.92,10585,55.0219,37.817818,16.557089,119440,6,4,1,34.055775,72.6063,23.971622,37309,1792.92,0.37624967,452.70197,467.46704,0.23716338,7.807632,3.9176931,228.5335,0.0,0.027147854,0.0040695528,0.08596189,0.040831044,2.2736523,0.0,0.18359998,9.506833E-6,0.0,0.04188749,0.0496733,-20.921217,-21.759262,-22.457952,-23.053886,-24.555304,-20.136229,-20.979544,-21.680613,-22.272673,-23.754646,-20.918898,-21.757359,-22.456415,-23.052765,-24.55497,7.7794304,706
2000021000014,2000021000354,2000021000013,2000021000014,49000200000076,49000200000076,2000021000000,2000021000015,2000021000355,0,49,0.45657724,1421.4606,10585,54.955902,37.702705,16.55516,119440,6,4,1,41.183395,81.707344,29.537521,32752,1421.4606,0.34242478,422.5273,453.1441,0.19293347,7.803636,3.9165528,176.09076,0.0,0.026922667,0.004211681,0.0859141,0.040830556,1.9271154,0.0,1.047147,5.1254105E-8,0.0,0.042133536,0.049120836,-20.992237,-21.813118,-22.504333,-23.095348,-24.591206,-20.182844,-21.021338,-21.719196,-22.308266,-23.786745,-20.989674,-21.811035,-22.502659,-23.09413,-24.590843,7.4085283,292
2000021000015,2000021000311,2000021000014,2000021000015,48000200000083,48000200000083,2000021000000,2000021000016,2000021000312,1,48,0.5085914,1323.0875,10585,54.908566,37.59772,16.543884,119440,6,4,1,43.800465,96.4356,36.43915,29383,2528.8684,0.40740845,516.6757,451.84518,0.2897,7.231752,3.3610446,0.0,0.0,0.026295243,0.0051622563,0.080110036,0.035335883,0.0,0.0,0.0,0.0,0.0,0.021304315,0.038966678,-20.90808,-21.750624,-22.448887,-23.042747,-24.542381,-20.06876,-20.901445,-21.595425,-22.181135,-23.655983,-20.896696,-21.741156,-22.441193,-23.03711,-24.5407,7.0117955,272
